doctor_id,doctor_name,date,appointment_load
D011,Dr. Sneha Kapoor,2025-08-30,43
D012,Dr. Rahul Bansal,2025-08-30,Not Applicable
D013,Dr. Ritika Malhotra,2025-08-30,43
D014,Dr. Priya Mishra,2025-08-30,Not Applicable
D015,Dr. Vikram Desai,2025-08-30,46
D016,Dr. Kavita Gupta,2025-08-30,Not Applicable
D017,Dr. Amit Agarwal,2025-08-30,Not Applicable
D018,Dr. Shweta Rao,2025-08-30,29
D019,Dr. Shweta Rao,2025-08-30,Not Applicable
D020,Dr. Karan Malhotra,2025-08-30,Not Applicable
D001,Dr. Deepak Iyer,2025-08-31,Not Applicable
D002,Dr. Kavita Chopra,2025-08-31,Not Applicable
D003,Dr. Suresh Desai,2025-08-31,Not Applicable
D004,Dr. Arjun Joshi,2025-08-31,Not Applicable
D005,Dr. Karan Mehta,2025-08-31,Not Applicable
D006,Dr. Meera Verma,2025-08-31,Not Applicable
D007,Dr. Rahul Joshi,2025-08-31,Not Applicable
D008,Dr. Manish Kapoor,2025-08-31,Not Applicable
D009,Dr. Amit Pandey,2025-08-31,Not Applicable
D010,Dr. Amit Bansal,2025-08-31,Not Applicable
D011,Dr. Sneha Kapoor,2025-08-31,Not Applicable
D012,Dr. Rahul Bansal,2025-08-31,Not Applicable
D013,Dr. Ritika Malhotra,2025-08-31,Not Applicable
D014,Dr. Priya Mishra,2025-08-31,Not Applicable
D015,Dr. Vikram Desai,2025-08-31,Not Applicable
D016,Dr. Kavita Gupta,2025-08-31,Not Applicable
D017,Dr. Amit Agarwal,2025-08-31,Not Applicable
D018,Dr. Shweta Rao,2025-08-31,Not Applicable
D019,Dr. Shweta Rao,2025-08-31,Not Applicable
D020,Dr. Karan Malhotra,2025-08-31,Not Applicable
D001,Dr. Deepak Iyer,2025-09-01,Leave
D002,Dr. Kavita Chopra,2025-09-01,Not Applicable
D003,Dr. Suresh Desai,2025-09-01,Leave
D004,Dr. Arjun Joshi,2025-09-01,18
D005,Dr. Karan Mehta,2025-09-01,Not Applicable
D006,Dr. Meera Verma,2025-09-01,Not Applicable
D007,Dr. Rahul Joshi,2025-09-01,Not Applicable
D008,Dr. Manish Kapoor,2025-09-01,25
D009,Dr. Amit Pandey,2025-09-01,Not Applicable
D010,Dr. Amit Bansal,2025-09-01,Not Applicable
D011,Dr. Sneha Kapoor,2025-09-01,Not Applicable
D012,Dr. Rahul Bansal,2025-09-01,41
D013,Dr. Ritika Malhotra,2025-09-01,Not Applicable
D014,Dr. Priya Mishra,2025-09-01,Not Applicable
D015,Dr. Vikram Desai,2025-09-01,32
D016,Dr. Kavita Gupta,2025-09-01,49
D017,Dr. Amit Agarwal,2025-09-01,Leave
D018,Dr. Shweta Rao,2025-09-01,Not Applicable
D019,Dr. Shweta Rao,2025-09-01,53
D020,Dr. Karan Malhotra,2025-09-01,35
D001,Dr. Deepak Iyer,2025-09-02,Not Applicable
D002,Dr. Kavita Chopra,2025-09-02,Not Applicable
D003,Dr. Suresh Desai,2025-09-02,35
D004,Dr. Arjun Joshi,2025-09-02,Not Applicable
D005,Dr. Karan Mehta,2025-09-02,Not Applicable
D006,Dr. Meera Verma,2025-09-02,37
D007,Dr. Rahul Joshi,2025-09-02,18
D008,Dr. Manish Kapoor,2025-09-02,Not Applicable
D009,Dr. Amit Pandey,2025-09-02,Not Applicable
D010,Dr. Amit Bansal,2025-09-02,Leave
D011,Dr. Sneha Kapoor,2025-09-02,Not Applicable
D012,Dr. Rahul Bansal,2025-09-02,51
D013,Dr. Ritika Malhotra,2025-09-02,36
D014,Dr. Priya Mishra,2025-09-02,49
D015,Dr. Vikram Desai,2025-09-02,Not Applicable
D016,Dr. Kavita Gupta,2025-09-02,Not Applicable
D017,Dr. Amit Agarwal,2025-09-02,Not Applicable
D018,Dr. Shweta Rao,2025-09-02,Not Applicable
D019,Dr. Shweta Rao,2025-09-02,Not Applicable
D020,Dr. Karan Malhotra,2025-09-02,Not Applicable
D001,Dr. Deepak Iyer,2025-09-03,Not Applicable
D002,Dr. Kavita Chopra,2025-09-03,Leave
D003,Dr. Suresh Desai,2025-09-03,26
D004,Dr. Arjun Joshi,2025-09-03,11
D005,Dr. Karan Mehta,2025-09-03,36
D006,Dr. Meera Verma,2025-09-03,44
D007,Dr. Rahul Joshi,2025-09-03,Not Applicable
D008,Dr. Manish Kapoor,2025-09-03,34
D009,Dr. Amit Pandey,2025-09-03,47
D010,Dr. Amit Bansal,2025-09-03,Not Applicable
D011,Dr. Sneha Kapoor,2025-09-03,Not Applicable
D012,Dr. Rahul Bansal,2025-09-03,Leave
D013,Dr. Ritika Malhotra,2025-09-03,Not Applicable
D014,Dr. Priya Mishra,2025-09-03,57
D015,Dr. Vikram Desai,2025-09-03,Not Applicable
D016,Dr. Kavita Gupta,2025-09-03,Not Applicable
D017,Dr. Amit Agarwal,2025-09-03,Not Applicable
D018,Dr. Shweta Rao,2025-09-03,21
D019,Dr. Shweta Rao,2025-09-03,Not Applicable
D020,Dr. Karan Malhotra,2025-09-03,46
D001,Dr. Deepak Iyer,2025-09-04,32
D002,Dr. Kavita Chopra,2025-09-04,Leave
D003,Dr. Suresh Desai,2025-09-04,Not Applicable
D004,Dr. Arjun Joshi,2025-09-04,Not Applicable
D005,Dr. Karan Mehta,2025-09-04,30
D006,Dr. Meera Verma,2025-09-04,36
D007,Dr. Rahul Joshi,2025-09-04,33
D008,Dr. Manish Kapoor,2025-09-04,25
D009,Dr. Amit Pandey,2025-09-04,53
D010,Dr. Amit Bansal,2025-09-04,Not Applicable
D011,Dr. Sneha Kapoor,2025-09-04,45
D012,Dr. Rahul Bansal,2025-09-04,Not Applicable
D013,Dr. Ritika Malhotra,2025-09-04,Not Applicable
D014,Dr. Priya Mishra,2025-09-04,Not Applicable
D015,Dr. Vikram Desai,2025-09-04,26
D016,Dr. Kavita Gupta,2025-09-04,32
D017,Dr. Amit Agarwal,2025-09-04,37
D018,Dr. Shweta Rao,2025-09-04,23
D019,Dr. Shweta Rao,2025-09-04,51
D020,Dr. Karan Malhotra,2025-09-04,Not Applicable
D001,Dr. Deepak Iyer,2025-09-05,Not Applicable
D002,Dr. Kavita Chopra,2025-09-05,Not Applicable
D003,Dr. Suresh Desai,2025-09-05,Not Applicable
D004,Dr. Arjun Joshi,2025-09-05,Not Applicable
D005,Dr. Karan Mehta,2025-09-05,Not Applicable
D006,Dr. Meera Verma,2025-09-05,Not Applicable
D007,Dr. Rahul Joshi,2025-09-05,Not Applicable
D008,Dr. Manish Kapoor,2025-09-05,Not Applicable
D009,Dr. Amit Pandey,2025-09-05,50
D010,Dr. Amit Bansal,2025-09-05,40
D011,Dr. Sneha Kapoor,2025-09-05,26
D012,Dr. Rahul Bansal,2025-09-05,Not Applicable
D013,Dr. Ritika Malhotra,2025-09-05,Leave
D014,Dr. Priya Mishra,2025-09-05,51
D015,Dr. Vikram Desai,2025-09-05,Not Applicable
D016,Dr. Kavita Gupta,2025-09-05,45
D017,Dr. Amit Agarwal,2025-09-05,51
D018,Dr. Shweta Rao,2025-09-05,Not Applicable
D019,Dr. Shweta Rao,2025-09-05,55
D020,Dr. Karan Malhotra,2025-09-05,34
D001,Dr. Deepak Iyer,2025-09-06,30
D002,Dr. Kavita Chopra,2025-09-06,40
D003,Dr. Suresh Desai,2025-09-06,Not Applicable
D004,Dr. Arjun Joshi,2025-09-06,17
D005,Dr. Karan Mehta,2025-09-06,30
D006,Dr. Meera Verma,2025-09-06,Not Applicable
D007,Dr. Rahul Joshi,2025-09-06,30
D008,Dr. Manish Kapoor,2025-09-06,Not Applicable
D009,Dr. Amit Pandey,2025-09-06,Not Applicable
D010,Dr. Amit Bansal,2025-09-06,Leave
D011,Dr. Sneha Kapoor,2025-09-06,Leave
D012,Dr. Rahul Bansal,2025-09-06,Not Applicable
D013,Dr. Ritika Malhotra,2025-09-06,37
D014,Dr. Priya Mishra,2025-09-06,Not Applicable
D015,Dr. Vikram Desai,2025-09-06,33
D016,Dr. Kavita Gupta,2025-09-06,Not Applicable
D017,Dr. Amit Agarwal,2025-09-06,Not Applicable
D018,Dr. Shweta Rao,2025-09-06,25
D019,Dr. Shweta Rao,2025-09-06,Not Applicable
D020,Dr. Karan Malhotra,2025-09-06,Not Applicable
D001,Dr. Deepak Iyer,2025-09-07,Not Applicable
D002,Dr. Kavita Chopra,2025-09-07,Not Applicable
D003,Dr. Suresh Desai,2025-09-07,Not Applicable
D004,Dr. Arjun Joshi,2025-09-07,Not Applicable
D005,Dr. Karan Mehta,2025-09-07,Not Applicable
D006,Dr. Meera Verma,2025-09-07,Not Applicable
D007,Dr. Rahul Joshi,2025-09-07,Not Applicable
D008,Dr. Manish Kapoor,2025-09-07,Not Applicable
D009,Dr. Amit Pandey,2025-09-07,Not Applicable
D010,Dr. Amit Bansal,2025-09-07,Not Applicable
D011,Dr. Sneha Kapoor,2025-09-07,Not Applicable
D012,Dr. Rahul Bansal,2025-09-07,Not Applicable
D013,Dr. Ritika Malhotra,2025-09-07,Not Applicable
D014,Dr. Priya Mishra,2025-09-07,Not Applicable
D015,Dr. Vikram Desai,2025-09-07,Not Applicable
D016,Dr. Kavita Gupta,2025-09-07,Not Applicable
D017,Dr. Amit Agarwal,2025-09-07,Not Applicable
D018,Dr. Shweta Rao,2025-09-07,Not Applicable
D019,Dr. Shweta Rao,2025-09-07,Not Applicable
D020,Dr. Karan Malhotra,2025-09-07,Not Applicable
D001,Dr. Deepak Iyer,2025-09-08,Leave
D002,Dr. Kavita Chopra,2025-09-08,Not Applicable
D003,Dr. Suresh Desai,2025-09-08,13
D004,Dr. Arjun Joshi,2025-09-08,18
D005,Dr. Karan Mehta,2025-09-08,Not Applicable
D006,Dr. Meera Verma,2025-09-08,Not Applicable
D007,Dr. Rahul Joshi,2025-09-08,Not Applicable
D008,Dr. Manish Kapoor,2025-09-08,22
D009,Dr. Amit Pandey,2025-09-08,Not Applicable
D010,Dr. Amit Bansal,2025-09-08,Not Applicable
D011,Dr. Sneha Kapoor,2025-09-08,Not Applicable
D012,Dr. Rahul Bansal,2025-09-08,49
D013,Dr. Ritika Malhotra,2025-09-08,Not Applicable
D014,Dr. Priya Mishra,2025-09-08,Not Applicable
D015,Dr. Vikram Desai,2025-09-08,35
D016,Dr. Kavita Gupta,2025-09-08,Leave
D017,Dr. Amit Agarwal,2025-09-08,43
D018,Dr. Shweta Rao,2025-09-08,Not Applicable
D019,Dr. Shweta Rao,2025-09-08,Leave
D020,Dr. Karan Malhotra,2025-09-08,32
D001,Dr. Deepak Iyer,2025-09-09,Not Applicable
D002,Dr. Kavita Chopra,2025-09-09,Not Applicable
D003,Dr. Suresh Desai,2025-09-09,26
D004,Dr. Arjun Joshi,2025-09-09,Not Applicable
D005,Dr. Karan Mehta,2025-09-09,Not Applicable
D006,Dr. Meera Verma,2025-09-09,Leave
D007,Dr. Rahul Joshi,2025-09-09,26
D008,Dr. Manish Kapoor,2025-09-09,Not Applicable
D009,Dr. Amit Pandey,2025-09-09,Not Applicable
D010,Dr. Amit Bansal,2025-09-09,33
D011,Dr. Sneha Kapoor,2025-09-09,Not Applicable
D012,Dr. Rahul Bansal,2025-09-09,51
D013,Dr. Ritika Malhotra,2025-09-09,29
D014,Dr. Priya Mishra,2025-09-09,39
D015,Dr. Vikram Desai,2025-09-09,Not Applicable
D016,Dr. Kavita Gupta,2025-09-09,Not Applicable
D017,Dr. Amit Agarwal,2025-09-09,Not Applicable
D018,Dr. Shweta Rao,2025-09-09,Not Applicable
D019,Dr. Shweta Rao,2025-09-09,Not Applicable
D020,Dr. Karan Malhotra,2025-09-09,Not Applicable
D001,Dr. Deepak Iyer,2025-09-10,Not Applicable
D002,Dr. Kavita Chopra,2025-09-10,42
D003,Dr. Suresh Desai,2025-09-10,13
D004,Dr. Arjun Joshi,2025-09-10,19
D005,Dr. Karan Mehta,2025-09-10,35
D006,Dr. Meera Verma,2025-09-10,35
D007,Dr. Rahul Joshi,2025-09-10,Not Applicable
D008,Dr. Manish Kapoor,2025-09-10,28
D009,Dr. Amit Pandey,2025-09-10,40
D010,Dr. Amit Bansal,2025-09-10,Not Applicable
D011,Dr. Sneha Kapoor,2025-09-10,Not Applicable
D012,Dr. Rahul Bansal,2025-09-10,44
D013,Dr. Ritika Malhotra,2025-09-10,Not Applicable
D014,Dr. Priya Mishra,2025-09-10,43
D015,Dr. Vikram Desai,2025-09-10,Not Applicable
D016,Dr. Kavita Gupta,2025-09-10,Not Applicable
D017,Dr. Amit Agarwal,2025-09-10,Not Applicable
D018,Dr. Shweta Rao,2025-09-10,30
D019,Dr. Shweta Rao,2025-09-10,Not Applicable
D020,Dr. Karan Malhotra,2025-09-10,34
D001,Dr. Deepak Iyer,2025-09-11,33
D002,Dr. Kavita Chopra,2025-09-11,46
D003,Dr. Suresh Desai,2025-09-11,Not Applicable
D004,Dr. Arjun Joshi,2025-09-11,Not Applicable
D005,Dr. Karan Mehta,2025-09-11,32
D006,Dr. Meera Verma,2025-09-11,41
D007,Dr. Rahul Joshi,2025-09-11,17
D008,Dr. Manish Kapoor,2025-09-11,24
D009,Dr. Amit Pandey,2025-09-11,51
D010,Dr. Amit Bansal,2025-09-11,Not Applicable
D011,Dr. Sneha Kapoor,2025-09-11,47
D012,Dr. Rahul Bansal,2025-09-11,Not Applicable
D013,Dr. Ritika Malhotra,2025-09-11,Not Applicable
D014,Dr. Priya Mishra,2025-09-11,Not Applicable
D015,Dr. Vikram Desai,2025-09-11,36
D016,Dr. Kavita Gupta,2025-09-11,40
D017,Dr. Amit Agarwal,2025-09-11,Leave
D018,Dr. Shweta Rao,2025-09-11,29
D019,Dr. Shweta Rao,2025-09-11,63
D020,Dr. Karan Malhotra,2025-09-11,Not Applicable
D001,Dr. Deepak Iyer,2025-09-12,Not Applicable
D002,Dr. Kavita Chopra,2025-09-12,Not Applicable
D003,Dr. Suresh Desai,2025-09-12,Not Applicable
D004,Dr. Arjun Joshi,2025-09-12,Not Applicable
D005,Dr. Karan Mehta,2025-09-12,Not Applicable
D006,Dr. Meera Verma,2025-09-12,Not Applicable
D007,Dr. Rahul Joshi,2025-09-12,Not Applicable
D008,Dr. Manish Kapoor,2025-09-12,Not Applicable
D009,Dr. Amit Pandey,2025-09-12,40
D010,Dr. Amit Bansal,2025-09-12,31
D011,Dr. Sneha Kapoor,2025-09-12,34
D012,Dr. Rahul Bansal,2025-09-12,Not Applicable
D013,Dr. Ritika Malhotra,2025-09-12,32
D014,Dr. Priya Mishra,2025-09-12,43
D015,Dr. Vikram Desai,2025-09-12,Not Applicable
D016,Dr. Kavita Gupta,2025-09-12,34
D017,Dr. Amit Agarwal,2025-09-12,55
D018,Dr. Shweta Rao,2025-09-12,Not Applicable
D019,Dr. Shweta Rao,2025-09-12,54
D020,Dr. Karan Malhotra,2025-09-12,41
D001,Dr. Deepak Iyer,2025-09-13,26
D002,Dr. Kavita Chopra,2025-09-13,41
D003,Dr. Suresh Desai,2025-09-13,Not Applicable
D004,Dr. Arjun Joshi,2025-09-13,10
D005,Dr. Karan Mehta,2025-09-13,29
D006,Dr. Meera Verma,2025-09-13,Not Applicable
D007,Dr. Rahul Joshi,2025-09-13,26
D008,Dr. Manish Kapoor,2025-09-13,Not Applicable
D009,Dr. Amit Pandey,2025-09-13,Not Applicable
D010,Dr. Amit Bansal,2025-09-13,30
D011,Dr. Sneha Kapoor,2025-09-13,31
D012,Dr. Rahul Bansal,2025-09-13,Not Applicable
D013,Dr. Ritika Malhotra,2025-09-13,34
D014,Dr. Priya Mishra,2025-09-13,Not Applicable
D015,Dr. Vikram Desai,2025-09-13,29
D016,Dr. Kavita Gupta,2025-09-13,Not Applicable
D017,Dr. Amit Agarwal,2025-09-13,Not Applicable
D018,Dr. Shweta Rao,2025-09-13,17
D019,Dr. Shweta Rao,2025-09-13,Not Applicable
D020,Dr. Karan Malhotra,2025-09-13,Not Applicable
D001,Dr. Deepak Iyer,2025-09-14,Not Applicable
D002,Dr. Kavita Chopra,2025-09-14,Not Applicable
D003,Dr. Suresh Desai,2025-09-14,Not Applicable
D004,Dr. Arjun Joshi,2025-09-14,Not Applicable
D005,Dr. Karan Mehta,2025-09-14,Not Applicable
D006,Dr. Meera Verma,2025-09-14,Not Applicable
D007,Dr. Rahul Joshi,2025-09-14,Not Applicable
D008,Dr. Manish Kapoor,2025-09-14,Not Applicable
D009,Dr. Amit Pandey,2025-09-14,Not Applicable
D010,Dr. Amit Bansal,2025-09-14,Not Applicable
D011,Dr. Sneha Kapoor,2025-09-14,Not Applicable
D012,Dr. Rahul Bansal,2025-09-14,Not Applicable
D013,Dr. Ritika Malhotra,2025-09-14,Not Applicable
D014,Dr. Priya Mishra,2025-09-14,Not Applicable
D015,Dr. Vikram Desai,2025-09-14,Not Applicable
D016,Dr. Kavita Gupta,2025-09-14,Not Applicable
D017,Dr. Amit Agarwal,2025-09-14,Not Applicable
D018,Dr. Shweta Rao,2025-09-14,Not Applicable
D019,Dr. Shweta Rao,2025-09-14,Not Applicable
D020,Dr. Karan Malhotra,2025-09-14,Not Applicable
D001,Dr. Deepak Iyer,2025-09-15,30
D002,Dr. Kavita Chopra,2025-09-15,Not Applicable
D003,Dr. Suresh Desai,2025-09-15,21
D004,Dr. Arjun Joshi,2025-09-15,7
D005,Dr. Karan Mehta,2025-09-15,Not Applicable
D006,Dr. Meera Verma,2025-09-15,Not Applicable
D007,Dr. Rahul Joshi,2025-09-15,Not Applicable
D008,Dr. Manish Kapoor,2025-09-15,22
D009,Dr. Amit Pandey,2025-09-15,Not Applicable
D010,Dr. Amit Bansal,2025-09-15,Not Applicable
D011,Dr. Sneha Kapoor,2025-09-15,Not Applicable
D012,Dr. Rahul Bansal,2025-09-15,Leave
D013,Dr. Ritika Malhotra,2025-09-15,Not Applicable
D014,Dr. Priya Mishra,2025-09-15,Not Applicable
D015,Dr. Vikram Desai,2025-09-15,27
D016,Dr. Kavita Gupta,2025-09-15,36
D017,Dr. Amit Agarwal,2025-09-15,38
D018,Dr. Shweta Rao,2025-09-15,Not Applicable
D019,Dr. Shweta Rao,2025-09-15,57
D020,Dr. Karan Malhotra,2025-09-15,32
D001,Dr. Deepak Iyer,2025-09-16,Not Applicable
D002,Dr. Kavita Chopra,2025-09-16,Not Applicable
D003,Dr. Suresh Desai,2025-09-16,Leave
D004,Dr. Arjun Joshi,2025-09-16,Not Applicable
D005,Dr. Karan Mehta,2025-09-16,Not Applicable
D006,Dr. Meera Verma,2025-09-16,42
D007,Dr. Rahul Joshi,2025-09-16,20
D008,Dr. Manish Kapoor,2025-09-16,Not Applicable
D009,Dr. Amit Pandey,2025-09-16,Not Applicable
D010,Dr. Amit Bansal,2025-09-16,Leave
D011,Dr. Sneha Kapoor,2025-09-16,Not Applicable
D012,Dr. Rahul Bansal,2025-09-16,38
D013,Dr. Ritika Malhotra,2025-09-16,20
D014,Dr. Priya Mishra,2025-09-16,44
D015,Dr. Vikram Desai,2025-09-16,Not Applicable
D016,Dr. Kavita Gupta,2025-09-16,Not Applicable
D017,Dr. Amit Agarwal,2025-09-16,Not Applicable
D018,Dr. Shweta Rao,2025-09-16,Not Applicable
D019,Dr. Shweta Rao,2025-09-16,Not Applicable
D020,Dr. Karan Malhotra,2025-09-16,Not Applicable
D001,Dr. Deepak Iyer,2025-09-17,Not Applicable
D002,Dr. Kavita Chopra,2025-09-17,37
D003,Dr. Suresh Desai,2025-09-17,20
D004,Dr. Arjun Joshi,2025-09-17,Leave
D005,Dr. Karan Mehta,2025-09-17,26
D006,Dr. Meera Verma,2025-09-17,33
D007,Dr. Rahul Joshi,2025-09-17,Not Applicable
D008,Dr. Manish Kapoor,2025-09-17,20
D009,Dr. Amit Pandey,2025-09-17,48
D010,Dr. Amit Bansal,2025-09-17,Not Applicable
D011,Dr. Sneha Kapoor,2025-09-17,Not Applicable
D012,Dr. Rahul Bansal,2025-09-17,Leave
D013,Dr. Ritika Malhotra,2025-09-17,Not Applicable
D014,Dr. Priya Mishra,2025-09-17,46
D015,Dr. Vikram Desai,2025-09-17,Not Applicable
D016,Dr. Kavita Gupta,2025-09-17,Not Applicable
D017,Dr. Amit Agarwal,2025-09-17,Not Applicable
D018,Dr. Shweta Rao,2025-09-17,22
D019,Dr. Shweta Rao,2025-09-17,Not Applicable
D020,Dr. Karan Malhotra,2025-09-17,38
D001,Dr. Deepak Iyer,2025-09-18,26
D002,Dr. Kavita Chopra,2025-09-18,39
D003,Dr. Suresh Desai,2025-09-18,Not Applicable
D004,Dr. Arjun Joshi,2025-09-18,Not Applicable
D005,Dr. Karan Mehta,2025-09-18,27
D006,Dr. Meera Verma,2025-09-18,35
D007,Dr. Rahul Joshi,2025-09-18,21
D008,Dr. Manish Kapoor,2025-09-18,15
D009,Dr. Amit Pandey,2025-09-18,34
D010,Dr. Amit Bansal,2025-09-18,Not Applicable
D011,Dr. Sneha Kapoor,2025-09-18,38
D012,Dr. Rahul Bansal,2025-09-18,Not Applicable
D013,Dr. Ritika Malhotra,2025-09-18,Not Applicable
D014,Dr. Priya Mishra,2025-09-18,Not Applicable
D015,Dr. Vikram Desai,2025-09-18,24
D016,Dr. Kavita Gupta,2025-09-18,39
D017,Dr. Amit Agarwal,2025-09-18,45
D018,Dr. Shweta Rao,2025-09-18,6
D019,Dr. Shweta Rao,2025-09-18,49
D020,Dr. Karan Malhotra,2025-09-18,Not Applicable
D001,Dr. Deepak Iyer,2025-09-19,Not Applicable
D002,Dr. Kavita Chopra,2025-09-19,Not Applicable
D003,Dr. Suresh Desai,2025-09-19,Not Applicable
D004,Dr. Arjun Joshi,2025-09-19,Not Applicable
D005,Dr. Karan Mehta,2025-09-19,Not Applicable
D006,Dr. Meera Verma,2025-09-19,Not Applicable
D007,Dr. Rahul Joshi,2025-09-19,Not Applicable
